# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  1 05:52:15 2023
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN imdist:         Distance [pc]
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN image:          Stellar Age [My]
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
rowid,plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag,imstype,immass,image,imlum,implmass,implstype,impltemp,implradius,immodel,immodeldef,imnotes
41,SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,8.661,1100.0,,,125.0,VLT:Yepun,NACO,2004-06-26,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,,,,,,2,,14,M9.0,,,This work.,0,
42,SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,8.659,1100.0,,,125.0,Subaru,IRCS,2005-06-13,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,15.35,,1.310000000000e+01,,,2,,14,M9.0,,,This work.,1,
43,SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,8.662,1100.0,,,125.0,Subaru,CIAO,2008-05-28,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,1,0,2,352.97994,16.5649924,,,,,,,,,,,2,,14,M9.0,,,This work.,0,
44,1RXS J160929.1-210524 b,16:09:30.31,242.3762680,-21:04:58.9,-21.08303600,,,7.250000000000e+00,,2.219,330.0,,27.7,150.0,Gemini:Gillett,NIRI,2008-04-27,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref>Lafreniere et al. 2008</a>,1,0,0,1,352.89056,22.0304266,,,8.92,,,,1.617000000000e+01,,K7 V,0.85,5,,8,L4,1800,1.710000000000e-01,Chabrier et al. (2000),1,
45,1RXS J160929.1-210524 b,16:09:30.31,242.3762680,-21:04:58.9,-21.08303600,7.75,8.080000000000e+00,,,2.219,330.0,,27.7,150.0,Gemini:Gillett,NIRI,2008-06-21,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref>Lafreniere et al. 2008</a>,1,0,0,1,352.89056,22.0304266,9.82,9.12,,,1.790000000000e+01,16.87,,,K7 V,0.85,5,,8,L4,1800,1.710000000000e-01,Chabrier et al. (2000),0,
46,HN Peg b,21:44:31.33,326.1305540,+14:46:19.0,14.77193930,,,,,43.200,795.0,,254.4,18.4,IRTF,SpeX,2006-07-02,,<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref>Luhman et al. 2007</a>,1,0,0,1,69.85936,-28.2692843,,,,,1.586000000000e+01,15.40,1.512000000000e+01,,GOV,,300,,22,T2.5,1130,1.070000000000e+00,Burrows et al. (1997) and Baraffe et al. (2003),1,
47,HD 203030 b,21:18:58.97,319.7425840,+26:13:46.1,26.23054500,,,9.560000000000e+00,,11.923,487.1,,108.8,40.0,Hale,PHARO,2002-08-28,,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651.1166M/abstract target=ref>Metchev et al. 2006</a>,0,0,0,1,74.61358,-16.1177434,,,6.65,,1.813000000000e+01,16.85,1.621000000000e+01,,G8V,,265,,24,L7.5,1206,1.060000000000e+00,Burrows et al. (1997),1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.
48,GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,,,0.739,,,,140.0,HST,WFPC2,1999-04-10,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,,,,,,,K7eV,,1,,,,,,,0,
49,GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,,5.650000000000e+00,0.737,,,,140.0,Subaru,CIAO,2002-07-17,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,1,0,1,338.92535,14.5108803,,,,6.05,,,,1.170000000000e+01,K7eV,,1,,22,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",0,
50,GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,6.004000000000e+00,,0.733,,,,140.0,VLT:Yepun,NACO,2004-06-25,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,7.10,,,,1.310000000000e+01,,K7eV,,1,,22,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",1,
51,GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,,,0.731,,,,140.0,VLT:Yepun,NACO,2004-08-25,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,,,,,,,K7eV,,1,,22,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",0,
52,GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,,,0.736,,,,140.0,VLT:Yepun,NACO,2004-09-14,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,,,,,,,K7eV,,1,,22,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",0,
53,HD 100546 b,11:33:25.44,173.3560030,-70:11:41.2,-70.19478610,,,9.600000000000e+00,9.400000000000e+00,0.457,53.0,,8.4,97.0,VLT:Yepun,NACO,2013-04-18,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,1,1,0,1,296.36728,-8.3236350,,,5.83,4.52,,,1.543000000000e+01,1.392000000000e+01,,2.40,5,32.0,8,,932,6.900000000000e+00,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",1,
54,HD 100546 b,11:33:25.44,173.3560030,-70:11:41.2,-70.19478610,,,9.600000000000e+00,,0.472,53.0,,9.2,97.0,VLT:Yepun,NACO,2013-04-19,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,1,0,0,1,296.36728,-8.3236350,,,5.83,,,,1.543000000000e+01,,,2.40,5,32.0,8,,932,6.900000000000e+00,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",0,"The companion was not detected in Ks-band, the angular separation and the PA are from the M-band detection. The companion was detected in M-band but those data are not presented in this table."
55,2MASS J04414489+2301513 b,04:41:44.90,70.4370730,+23:01:51.4,23.03094100,,,,,0.105,,,120.4,140.0,HST,WFPC2,2008-08-20,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref>Todorov et al. 2010</a>,1,0,0,1,176.51059,-15.1142495,,,,,,,,,M8.5,0.02,1,,,,,,,0,The companion is detected in WFPC2 filters F791 and F850.
56,2MASS J04414489+2301513 b,04:41:44.90,70.4370730,+23:01:51.4,23.03094100,1.68,,1.540000000000e+00,,0.105,,,120.4,140.0,Gemini:Gillett,NIRI,2009-10-13,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref>Todorov et al. 2010</a>,1,0,0,1,176.51059,-15.1142495,,13.94,13.40,,,15.62,1.494000000000e+01,,M8.5,0.02,1,,8,,,,"Chabrier et al. (2000), Burrows et al. (1997)",1,
57,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.300000000000e+02,,7.7,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,22.90,,1.660000000000e+01,A3V,,200,,3,,,1.200000000000e+00,Kalas et al. (2008),1,Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
58,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,22.90,,1.660000000000e+01,A3V,,200,,2,,400,1.200000000000e+00,Fortney et al. (2008),0,Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
59,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,22.90,,1.660000000000e+01,A3V,,200,,0,,450,1.200000000000e+00,Fortney et al. (2008),0,Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
60,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,Keck:II,NIRC2,2005-07-21,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,22.90,,,A3V,,200,,3,,,1.200000000000e+00,,0,No src detection in CH4S filter at 3-sigma limit. Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
61,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,Keck:II,NIRC2,2005-10-21,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,20.60,,,A3V,,200,,3,,,1.200000000000e+00,,0,No src detection in H/CH4S filter at 3-sigma limit. Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
62,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,Gemini:Gillett,NIRI,2008-09-17,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,,,1.660000000000e+01,A3V,,200,,3,,,1.200000000000e+00,,0,No src detection in CH4S filter at 3-sigma limit. Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
63,Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,12.700,97.6,1.150000000000e+02,,7.7,Gemini:Gillett,NIRI,2008-09-17,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,,,1.660000000000e+01,A3V,,200,,3,,,1.200000000000e+00,,0,No src detection in CH4S filter at 3-sigma limit. Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
64,ROXs 42 B b,16:31:15.02,247.8125670,-24:32:43.7,-24.54547100,,,6.300000000000e+00,,1.157,150.0,,268.9,135.0,Keck:II,NIRC2,2005-04-16,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.497100000000e+01,,M0,,2,,10,M8-L0,2200,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",0,
65,ROXs 42 B b,16:31:15.02,247.8125670,-24:32:43.7,-24.54547100,,,6.100000000000e+00,,1.160,150.0,,269.7,135.0,Subaru,CIAO,2008-07-19,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.477100000000e+01,,M0,,2,,10,M8-L0,2200,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",0,Delta K mag and K mag are Ks.
66,ROXs 42 B b,16:31:15.02,247.8125670,-24:32:43.7,-24.54547100,6.86,,,,1.169,150.0,,269.6,135.0,Keck:II,NIRC2,2011-06-22,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,9.02,8.67,,,15.88,,,M0,,2,,10,M8-L0,2200,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",1,
67,ROXs 42 B b,16:31:15.02,247.8125670,-24:32:43.7,-24.54547100,,,6.200000000000e+00,,1.150,150.0,,270.0,135.0,VLT:Melipal,SINFONI,2012-08-11,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,1,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.487100000000e+01,,M0,,2,,10,M8-L0,2200,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",0,
68,ROXs 12 b,16:26:27.76,246.6156090,-25:27:24.7,-25.45686500,5.44,5.620000000000e+00,5.020000000000e+00,4.120000000000e+00,1.781,210.0,,9.1,120.0,Keck:II,NIRC2,,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...20K/abstract target=ref>Kraus et al. 2014</a>,0,1,0,1,352.24976,352.2497600,11.02,9.93,9.26,8.43,1.664000000000e+01,15.37,1.432000000000e+01,1.255000000000e+01,M0,0.87,8,,16,,,,Kraus et al. 2014,1,"imangsep and impa are the average across J, H, K and L bands. The date of observations is not included."
69,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,5,0.3,8,L,1200,,warm-start,0,
70,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,5,0.3,4,L,1200,,"COND, ""hot-start"", Baraffe et al. (2003)",0,
71,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,5,0.3,13,L,1200,,"Bern Exoplanet (BEX) evolution models, ""warm"", Mordasini et al. (2017)",0,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
72,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,5,0.3,7,L,1200,,"Bern Exoplanet (BEX) evolution models, ""hot"", Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",0,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
73,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,5,0.3,6,L,1200,,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",1,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
74,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,7.810000000000e+00,6.840000000000e+00,0.195,22.0,,155.0,113.4,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.635000000000e+01,1.475000000000e+01,K7,0.76,1,0.3,3,L,1200,,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",0,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
75,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,,,,6.590000000000e+00,0.192,21.8,,162.2,113.4,Gemini:South,NICI,2012-03-31,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,0,0,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,,,1.450000000000e+01,K7,0.76,5,0.3,,L,1200,,,0,
76,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.35,,,,0.192,22.6,,154.5,113.4,VLT:Melipal,SPHERE/IRDIS,2015-05-03,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,0,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,18.17,,,K7,0.76,5,0.3,,L,1200,,,0,Planet H mag and delta H mag are in H2 filter on IRDIS.
77,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,,,,0.200,21.8,,153.4,113.4,VLT:Melipal,SPHERE/IRDIS,2015-05-31,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,0,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,17.94,,,K7,0.76,5,0.3,,L,1200,,,0,Planet H mag and delta H mag are in H2 filter on IRDIS.
78,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,,,7.810000000000e+00,,0.193,21.9,,152.2,113.4,VLT:Melipal,SPHERE/IRDIS,2016-05-14,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,0,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,,1.635000000000e+01,,K7,0.76,5,0.3,,L,1200,,,0,Planet K mag and delta K mag are in K1 filter on IRDIS.
79,PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,,,,6.840000000000e+00,0.190,21.5,,150.6,113.4,VLT:Yepun,NACO,2016-06-01,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,0,0,1,318.06210,19.2085494,9.55,8.82,8.54,7.91,,,,1.475000000000e+01,K7,0.76,5,0.3,,L,1200,,,0,
80,PDS 70 c,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,7.70,,8.800000000000e+00,6.600000000000e+00,0.277,27.2,3.450000000000e+01,277.0,113.4,"VLT:Melipal, VLT:Antu, VLT:Yepun","SPHERE/IRDIS, NACO, MUSE","2016-05-14, 2016-06-01, 2016-06-20",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,1,1,1,318.06210,19.2085494,,,,,,,,,,,5,,8,,,,Allard et al. (2001),1,Delta H mag is H-alpha and delta K mag is K1.
81,PDS 70 c,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,,,8.800000000000e+00,,0.215,33.6,,285.0,113.4,VLT:Melipal,SPHERE/IRDIS,2016-05-14,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,1,1,1,318.06210,19.2085494,,,,,,,,,,,5,,8,,,,,0,Delta K mag. is in K1 on IRDIS.
82,PDS 70 c,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,,,,6.600000000000e+00,0.254,39.7,,283.3,113.4,VLT:Antu,NACO,2016-06-01,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,0,0,1,318.06210,19.2085494,,,,,,,,,,,5,,8,,,,,0,
83,PDS 70 c,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,7.70,,,,0.235,38.6,,277.0,113.4,VLT:Yepun,MUSE,2016-06-20,Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,0,1,1,318.06210,19.2085494,,,,,,,,,,,5,,8,,,,,0,Delta H mag. is in H-alpha.
